pklt_nm,pklt_knd_nm,lat,lot,addr,자치구,평일운영시간,주말운영시간,운영시간,ev_충전소_500m,ev_등록대수
덕원주차장,노외 주차장,37.57105,127.06806,동대문구 장안동 458-8,동대문구,24.0,24.0,24.0,104,3021
도곡로 327 공영주차장,노외 주차장,37.49988,127.03856,강남구 역삼동 765-22,강남구,24.0,24.0,24.0,242,15468
도곡로 421 공영주차장,노외 주차장,37.49882,127.06566,강남구 대치동 939-21,강남구,24.0,24.0,24.0,105,15468
도곡로21길 7 공영주차장,노외 주차장,37.49988,127.03856,강남구 역삼동 795-25,강남구,24.0,24.0,24.0,242,15468
도곡초 공영주차장,노외 주차장,37.49882,127.06566,강남구 대치동 924-10,강남구,24.0,24.0,24.0,105,15468
도깨비시장 공영주차장,노외 주차장,37.66442,127.03333,도봉구 방학동 632-1,도봉구,13.0,13.0,13.0,68,2535
도림고가 노상주차장,노상 주차장,37.51217,126.89799,영등포구 문래동1가 39-1,영등포구,10.0,6.0,8.857142857142858,302,4323
도림동 공영주차장,노외 주차장,37.5082619,126.8993866,영등포구 도림동 226-13,영등포구,23.0,23.0,23.0,321,4323
도봉2동 6공영주차장,노외 주차장,37.6826056,127.0425405,도봉구 도봉동 59-1,도봉구,24.0,24.0,24.0,103,2535
도봉산 공영주차장,노외 주차장,37.6876442,127.04066026,도봉구 도봉동 282-26,도봉구,14.0,14.0,14.0,75,2535
도봉산역 공영주차장,노외 주차장,37.68972069,127.04483862,도봉구 도봉동 288-19,도봉구,24.0,24.0,24.0,213,2535
도산대로25길 32 공영주차장,노외 주차장,37.5223206,127.0277019,강남구 신사동 564-0,강남구,10.0,24.0,14.0,62,15468
도선동(지하) 공영주차장,노외 주차장,37.5660138,127.0327281,성동구 홍익동 369-0,성동구,24.0,24.0,24.0,190,4331
독산2동 공영주차장,노외 주차장,37.468399,126.8979571,금천구 독산동 1050-17,금천구,11.5,17.5,13.214285714285714,120,2257
독산2동 지평식주차장4,노외 주차장,37.4753253,126.8863954,금천구 가산동 1031-12,금천구,24.0,24.0,24.0,416,2257
독산3동 공영주차장,노외 주차장,37.468399,126.8979571,금천구 독산동 898-24,금천구,11.0,11.0,11.0,120,2257
독산4동 공영주차장,노외 주차장,37.468399,126.8979571,금천구 독산동 187-40,금천구,24.0,24.0,24.0,120,2257
독산동 금천교 공영주차장,노상 주차장,37.46658655,126.88993519,금천구 독산동 1081-4,금천구,10.0,6.0,8.857142857142858,284,2257
돈화문로 공영주차장,노상 주차장,37.5647315,126.992846,중구 을지로3가 296-24,중구,10.0,6.0,8.857142857142858,58,2000
동교동 노상공영주차장,노상 주차장,37.5550711,126.9238244,마포구 서교동 332-1,마포구,11.0,11.0,11.0,55,4083
동구로 공영주차장,노외 주차장,37.49510602,126.89186155,구로구 구로동 94-1,구로구,24.0,24.0,24.0,104,3621
동국제강 공영주차장,노외 주차장,37.56733736,126.98343453,중구 삼각동 111-1,중구,10.0,10.0,10.0,301,2000
동답 공영주차장,노외 주차장,37.57002,127.05467,동대문구 답십리동 2-283,동대문구,10.0,10.0,10.0,193,3021
동대문 공영주차장,노외 주차장,37.56710187,127.01214106,중구 신당동 251-7,중구,24.0,24.0,24.0,133,2000
동막골,노외 주차장,37.66727,127.07242,노원구 상계동 31-0,노원구,9.0,4.0,7.571428571428571,97,3918
동막골 노외공영주차장,노외 주차장,37.66727,127.07242,노원구 상계동 31-0,노원구,10.0,24.0,14.0,97,3918
동묘공영,노외 주차장,37.57648,127.01848,종로구 숭인동 227-0,종로구,24.0,24.0,24.0,110,1896
동묘공영주차장,노외 주차장,37.57648,127.01848,종로구 숭인동 227-8,종로구,9.0,24.0,13.285714285714286,110,1896
동문굿모닝탑 앞 노상공영주차장,노상 주차장,37.5162407,126.8521196,양천구 신정동 324-3,양천구,10.0,24.0,14.0,130,3941
