주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
남산한옥마을 공영주차장(시),NW,노외 주차장,37.56005799,126.99316078,1,1,11.0,11.0,53,16.0,중구 필동2가 83-1,중구,2000,0.00979706088173548,0.1333333333333333,0.31578947368421056,357,0.007662835249042127,0.875,0.15297328929975978,0.44133141762452105,0.2971523534621404
당고개위 공영주차장(시),NS,노상 주차장,37.67044313,127.08058642,1,22,13.0,13.0,49,23.0,노원구 상계동 111-568,노원구,3918,0.01469559132260322,0.2666666666666667,0.4210526315789473,361,0.14898320070733864,0.8848039215686274,0.23413829652273907,0.516893561137983,0.37551592883036106
당산고가밑 공영주차장(시),NS,노상 주차장,37.53239477,126.90068662,1,23,10.0,6.0,337,23.0,영등포구 당산동5가 9-15,영등포구,4323,0.01469559132260322,0.06666666666666665,0.05263157894736842,73,0.17882404951370465,0.17892156862745098,0.04466461231221277,0.17887280907057782,0.1117687106913953
당산노외 공영주차장(시),NW,노외 주차장,37.52625065,126.89945376,1,1,13.0,13.0,295,236.0,영등포구 당산동3가 2-1,영등포구,4323,0.1637508747375787,0.2666666666666667,0.4210526315789473,115,0.17882404951370465,0.2818627450980392,0.2838233909943976,0.23034339730587194,0.25708339415013476
대림노외 공영주차장(시),NW,노외 주차장,37.4928472,126.89433148,1,1,10.0,10.0,94,93.0,구로구 구로동 120-5,구로구,3621,0.0636808957312806,0.06666666666666665,0.2631578947368421,316,0.12709991158267017,0.7745098039215687,0.13116848571159645,0.4508048577521194,0.29098667173185794
대림역 공영주차장(시),NS,노상 주차장,37.495401,126.89383223,2,49,10.0,6.0,86,18.0,영등포구 대림동 808-24,영등포구,4323,0.01119664100769769,0.06666666666666665,0.05263157894736842,324,0.17882404951370465,0.7941176470588235,0.04349829554057758,0.4864708482862641,0.26498457191342084
도봉산 공영주차장(시),NW,노외 주차장,37.6876442,127.04066026,1,1,14.0,14.0,75,135.0,도봉구 도봉동 282-26,도봉구,2535,0.09307207837648705,0.33333333333333337,0.47368421052631576,335,0.04708222811671087,0.821078431372549,0.30002987407871207,0.43408032974462996,0.367055101911671
도봉산역 공영주차장(시),NW,노외 주차장,37.68972069,127.04483862,1,1,24.0,24.0,213,358.0,도봉구 도봉동 288-19,도봉구,2535,0.2491252624212736,1.0,1.0,197,0.04708222811671087,0.48284313725490197,0.7497084208070911,0.2649626826858064,0.5073355517464487
독산동 금천교 공영주차장(시),NS,노상 주차장,37.46658655,126.88993519,1,21,10.0,6.0,284,21.0,금천구 독산동 1081-4,금천구,2257,0.013296011196641006,0.06666666666666665,0.05263157894736842,126,0.02659888004715591,0.3088235294117647,0.044198085603558694,0.16771120472946033,0.10595464516650951
돈화문로 공영주차장(시),NS,노상 주차장,37.5647315,126.992846,1,48,10.0,6.0,58,48.0,중구 을지로3가 296-24,중구,2000,0.03219034289713086,0.06666666666666665,0.05263157894736842,352,0.007662835249042127,0.8627450980392157,0.05049619617038864,0.4352039666441289,0.24285008140725878
동구로 공영주차장(시),NW,노외 주차장,37.49510602,126.89186155,1,1,24.0,24.0,104,71.0,구로구 구로동 94-1,구로구,3621,0.048285514345696286,1.0,1.0,306,0.12709991158267017,0.75,0.6827618381152322,0.4385499557913351,0.5606558969532837
