pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
도산대로25길 32 공영주차장,노외 주차장,26.0,800.0,800.0,False,37.5223206,127.0277019,강남구 신사동 564-0
도선동(지하) 공영주차장,노외 주차장,190.0,200.0,200.0,False,37.5660138,127.0327281,성동구 홍익동 369-0
독산2동 공영주차장,노외 주차장,70.0,250.0,250.0,False,37.468399,126.8979571,금천구 독산동 1050-17
독산2동 지평식주차장4,노외 주차장,7.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 1031-12
독산3동 공영주차장,노외 주차장,50.0,130.0,130.0,False,37.468399,126.8979571,금천구 독산동 898-24
독산4동 공영주차장,노외 주차장,63.0,130.0,130.0,False,37.468399,126.8979571,금천구 독산동 187-40
독산동 금천교 공영주차장,노상 주차장,21.0,800.0,800.0,False,37.46658655,126.88993519,금천구 독산동 1081-4
돈화문로 공영주차장,노상 주차장,48.0,1500.0,1500.0,False,37.5647315,126.992846,중구 을지로3가 296-24
동교동 노상공영주차장,노상 주차장,1.0,800.0,800.0,False,37.5550711,126.9238244,마포구 서교동 332-1
동구로 공영주차장,노외 주차장,71.0,640.0,640.0,False,37.49510602,126.89186155,구로구 구로동 94-1
동국제강 공영주차장,노외 주차장,13.0,1400.0,1400.0,False,37.56733736,126.98343453,중구 삼각동 111-1
동답 공영주차장,노외 주차장,67.0,,400.0,True,37.57002,127.05467,동대문구 답십리동 2-283
동대문 공영주차장,노외 주차장,1092.0,720.0,720.0,False,37.56710187,127.01214106,중구 신당동 251-7
동막골,노외 주차장,38.0,300.0,300.0,False,37.66727,127.07242,노원구 상계동 31-0
동막골 노외공영주차장,노외 주차장,35.0,300.0,300.0,False,37.66727,127.07242,노원구 상계동 31-0
동묘공영,노외 주차장,27.0,,400.0,True,37.57648,127.01848,종로구 숭인동 227-0
동묘공영주차장,노외 주차장,27.0,800.0,800.0,False,37.57648,127.01848,종로구 숭인동 227-8
동문굿모닝탑 앞 노상공영주차장,노상 주차장,1.0,,400.0,True,37.5162407,126.8521196,양천구 신정동 324-3
동방고개,노외 주차장,66.0,300.0,300.0,False,37.6162,127.05086,성북구 장위동 230-110
동산마을 공영주차장,노외 주차장,121.0,500.0,500.0,False,37.46838,127.0361,서초구 양재동 370-5
동서울 노외주차장,노외 주차장,25.0,500.0,500.0,False,37.54417,127.09262,광진구 구의동 598-1
동아빌딩앞,노상 주차장,2.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 1-4
동아빌딩앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 14-0
동우주차장,노외 주차장,8.0,,400.0,True,37.55783,127.03571,성동구 행당동 32-1
동원시장공영주차장,노외 주차장,26.0,200.0,200.0,False,37.58178,127.09034,중랑구 면목동 74-33
동작갯마을,노상 주차장,4.0,,400.0,True,37.5028911,126.9775288,동작구 동작동 102-65
동작갯마을 공영주차장,노상 주차장,1.0,,400.0,True,37.5028911,126.9775288,동작구 동작동 102-65
동작구청 부설주차장,노외 주차장,86.0,500.0,500.0,False,37.5110101,126.9414634,동작구 노량진동 47-2
동작대교 공영주차장,노외 주차장,88.0,240.0,240.0,False,37.518577,126.983287,용산구 용산동6가 69-11
동작대교(위) 공영주차장,노상 주차장,1.0,520.0,520.0,False,37.50535472,126.9806183,동작구 동작동 316-3
동작대교(위) 공영주차장,노상 주차장,51.0,520.0,520.0,False,37.50535472,126.9806183,동작구 동작동 316-3
동작주차공원,노외 주차장,147.0,200.0,200.0,False,37.5028911,126.9775288,동작구 동작동 326-0
동작주차공원 주차장,노외 주차장,147.0,,400.0,True,37.5028911,126.9775288,동작구 동작동 326-0
동호대교(남) 공영주차장,노상 주차장,18.0,340.0,340.0,False,37.53093729,127.024794275,강남구 압구정동 435-0
동화동 공영주차장,노외 주차장,220.0,300.0,300.0,False,37.5651969,127.01322,중구 신당동 52-7
둔촌역전통시장,노외 주차장,18.0,300.0,300.0,False,37.52998,127.12875,강동구 성내동 417-34
둘리뮤지엄 공영주차장,노외 주차장,25.0,,400.0,True,37.65347,127.02715,도봉구 쌍문동 79-0
