행정동코드,연도,월,시간대구분,총생활인구수,월별총인구,시간대비율
11650660,2023,1,7,856310.6974,18417858.7429,0.04649349901926595
11650660,2023,1,8,869748.5614,18417858.7429,0.04722310956670162
11650660,2023,1,9,867045.0663000001,18417858.7429,0.047076322953896146
11650660,2023,1,10,865663.0053,18417858.7429,0.047001283774842126
11650660,2023,1,11,830261.985,18417858.7429,0.045079180842347494
11650660,2023,1,12,826211.8151,18417858.7429,0.044859276348750414
11650660,2023,1,13,824137.7206,18417858.7429,0.0447466631221559
11650660,2023,1,14,820703.8918,18417858.7429,0.04456022294754419
11650660,2023,1,15,816934.2443,18417858.7429,0.04435554945359348
11650660,2023,1,16,817302.0078,18417858.7429,0.04437551721994101
11650660,2023,1,17,802512.4663,18417858.7429,0.043572517169476334
11650660,2023,1,18,758166.1356,18417858.7429,0.041164727462809414
11650660,2023,1,19,717230.4234,18417858.7429,0.03894211772454217
11650660,2023,1,20,705944.437,18417858.7429,0.038329343647080495
11650660,2023,1,21,707673.2254,18417858.7429,0.03842320843473755
11650660,2023,1,22,712035.3404,18417858.7429,0.03866005002750313
11650660,2023,1,23,680276.0133,18417858.7429,0.0369356732938482
11650660,2023,12,0,683953.3606,18204501.0301,0.03757056342654633
11650660,2023,12,1,675494.1427,18204501.0301,0.03710588615327126
11650660,2023,12,2,675639.6181,18204501.0301,0.03711387733082452
11650660,2023,12,3,671915.9593,18204501.0301,0.036909331279612066
11650660,2023,12,4,674382.4795,18204501.0301,0.0370448208596847
11650660,2023,12,5,694078.9666,18204501.0301,0.03812677784754353
11650660,2023,12,6,768463.6468,18204501.0301,0.04221283766742047
11650660,2023,12,7,851700.1977,18204501.0301,0.046785143756028644
11650660,2023,12,8,861676.0827,18204501.0301,0.04733313378242407
11650660,2023,12,9,864643.3701,18204501.0301,0.04749613124085996
11650660,2023,12,10,856307.3349,18204501.0301,0.047038220574359586
11650660,2023,12,11,815911.6806,18204501.0301,0.04481922790693034
11650660,2023,12,12,819117.0235,18204501.0301,0.044995302103894054
11650660,2023,12,13,826120.966,18204501.0301,0.045380038960368144
11650660,2023,12,14,825432.61,18204501.0301,0.04534222655348801
11650660,2023,12,15,824922.3372,18204501.0301,0.04531419651854465
11650660,2023,12,16,821792.6048,18204501.0301,0.045142275717484234
11650660,2023,12,17,794839.1327,18204501.0301,0.04366168187668442
11650660,2023,12,18,740812.1264,18204501.0301,0.040693899007455
11650660,2023,12,19,697087.7186,18204501.0301,0.03829205301740538
11650660,2023,12,20,690642.8582,18204501.0301,0.037938027362467416
11650660,2023,12,21,695117.8144,18204501.0301,0.03818384328417826
11650660,2023,12,22,702483.158,18204501.0301,0.03858843243429129
11650660,2023,12,23,671965.8407000001,18204501.0301,0.0369120713382337
11680510,2023,1,0,708894.1771,26263336.1099,0.02699177949570471
11680510,2023,1,1,687940.1418,26263336.1099,0.026193935870191296
11680510,2023,1,2,673028.1696,26263336.1099,0.0256261491983991
11680510,2023,1,3,666424.7975999999,26263336.1099,0.02537471990653884
11680510,2023,1,4,664272.1892,26263336.1099,0.025292757417425035
11680510,2023,1,5,680653.015,26263336.1099,0.025916472003091294
11680510,2023,1,6,727002.1534,26263336.1099,0.02768125688061219
11680510,2023,1,7,803105.3303,26263336.1099,0.03057895337208392
11680510,2023,1,8,924419.2567,26263336.1099,0.03519808956606769
11680510,2023,1,9,1132807.4209,26263336.1099,0.04313265520266432
11680510,2023,1,10,1267865.0527000001,26263336.1099,0.04827509526568015
11680510,2023,1,11,1366815.677,26263336.1099,0.052042728740952934
11680510,2023,1,12,1453066.199,26263336.1099,0.05532679446813555
11680510,2023,1,13,1510054.8296,26263336.1099,0.05749668752214547
11680510,2023,1,14,1545263.1596,26263336.1099,0.058837276160720146
11680510,2023,1,15,1561964.9049,26263336.1099,0.059473210043228864
11680510,2023,1,16,1564524.777,26263336.1099,0.0595706794617859
11680510,2023,1,17,1553855.1698,26263336.1099,0.05916442462975113
11680510,2023,1,18,1501998.5087,26263336.1099,0.05718993590208136
11680510,2023,1,19,1344588.4505,26263336.1099,0.05119640722235419
11680510,2023,1,20,1202594.7409,26263336.1099,0.045789869796727015
11680510,2023,1,21,1059390.7812,26263336.1099,0.04033725101666202
11680510,2023,1,22,919632.1971,26263336.1099,0.03501581799249576
11680510,2023,1,23,743175.0103,26263336.1099,0.02829705286450106
11680510,2023,12,0,743326.8184,27110214.2921,0.027418699475813723
11680510,2023,12,1,728651.5585,27110214.2921,0.02687738099924689
11680510,2023,12,2,714950.6099,27110214.2921,0.026372001423402205
11680510,2023,12,3,703088.872,27110214.2921,0.025934463830663345
11680510,2023,12,4,694706.706,27110214.2921,0.025625275348798687
11680510,2023,12,5,718914.8012999999,27110214.2921,0.026518226435026517
11680510,2023,12,6,755666.9259,27110214.2921,0.027873882432578323
11680510,2023,12,7,837237.2506,27110214.2921,0.030882723448039048
11680510,2023,12,8,966316.5809,27110214.2921,0.03564400378722154
11680510,2023,12,9,1173252.5032,27110214.2921,0.04327713866658329
11680510,2023,12,10,1304241.3762,27110214.2921,0.048108855287804196
11680510,2023,12,11,1411444.122,27110214.2921,0.0520631857348062
11680510,2023,12,12,1484323.488,27110214.2921,0.0547514479969469
11680510,2023,12,13,1530508.8145,27110214.2921,0.056455061476441186
11680510,2023,12,14,1562316.8754,27110214.2921,0.057628348436008635
11680510,2023,12,15,1576262.5838,27110214.2921,0.0581427563359146
11680510,2023,12,16,1582009.1715,27110214.2921,0.058354727648206095
11680510,2023,12,17,1579866.7869,27110214.2921,0.05827570265132054
11680510,2023,12,18,1530107.7831,27110214.2921,0.056440268845306694
11680510,2023,12,19,1374925.6091,27110214.2921,0.05071614684730314
11680510,2023,12,20,1256932.838,27110214.2921,0.046363810498033356
11680510,2023,12,21,1125340.9217,27110214.2921,0.04150984974058017
11680510,2023,12,22,973825.1276,27110214.2921,0.035920967540406926
11680510,2023,12,23,781996.1676,27110214.2921,0.028845075113547742
11680521,2023,1,0,1068002.686,32075395.4903,0.03329663343739526
11680521,2023,1,1,1057404.4531,32075395.4903,0.032966217156068185
11680521,2023,1,2,1056492.6239,32075395.4903,0.032937789472291826
11680521,2023,1,3,1054296.2010000001,32075395.4903,0.032869312595657084
11680521,2023,1,4,1053133.3624,32075395.4903,0.03283305930611146
11680521,2023,1,5,1049693.7549,32075395.4903,0.03272582422927382
11680521,2023,1,6,1072998.5731,32075395.4903,0.033452387934686204
11680521,2023,1,7,1141525.949,32075395.4903,0.03558883472988546
11680521,2023,1,8,1305698.6709,32075395.4903,0.04070717292620319
11680521,2023,1,9,1491049.4495,32075395.4903,0.04648576975304676
11680521,2023,1,10,1580630.7179,32075395.4903,0.04927860416804533
11680521,2023,1,11,1606864.4607,32075395.4903,0.05009648162205625
11680521,2023,1,12,1612828.0285,32075395.4903,0.05028240505990766
11680521,2023,1,13,1641063.289,32075395.4903,0.051162682919881006
11680521,2023,1,14,1661322.5026,32075395.4903,0.05179429519746388
11680521,2023,1,15,1655469.607,32075395.4903,0.051611822136398436
11680521,2023,1,16,1635311.8278,32075395.4903,0.05098337223291725
11680521,2023,1,17,1617556.8545,32075395.4903,0.050429833514887425
11680521,2023,1,18,1526706.1748,32075395.4903,0.04759742324180211
11680521,2023,1,19,1377464.8139,32075395.4903,0.04294459328853989
11680521,2023,1,20,1297655.0208,32075395.4903,0.04045639970962874
11680521,2023,1,21,1238249.15,32075395.4903,0.038604329925548755
11680521,2023,1,22,1170273.4979,32075395.4903,0.03648508397204036
11680521,2023,1,23,1103703.8211,32075395.4903,0.03440967147026368
11680521,2023,12,0,1062339.254,31760169.1188,0.03344879084321886
11680521,2023,12,1,1047938.6005000001,31760169.1188,0.03299537217765276
11680521,2023,12,2,1049312.4599,31760169.1188,0.03303862948509533
11680521,2023,12,3,1050656.2815,31760169.1188,0.03308094102301484
11680521,2023,12,4,1050934.0624,31760169.1188,0.033089687226442184
11680521,2023,12,5,1049285.1856,31760169.1188,0.03303777072707367
11680521,2023,12,6,1074626.6438,31760169.1188,0.03383567133349707
11680521,2023,12,7,1125673.4082,31760169.1188,0.03544292865662585
11680521,2023,12,8,1275811.3715,31760169.1188,0.040170169331522884
11680521,2023,12,9,1451233.594,31760169.1188,0.04569350964636275
11680521,2023,12,10,1540940.5925,31760169.1188,0.04851802226669698
11680521,2023,12,11,1582149.4433,31760169.1188,0.04981552325436039
11680521,2023,12,12,1590054.6285,31760169.1188,0.05006442574510061
11680521,2023,12,13,1615602.7114,31760169.1188,0.05086883213237255
11680521,2023,12,14,1631253.1344,31760169.1188,0.0513616010134657
11680521,2023,12,15,1621945.9765,31760169.1188,0.05106855604052534
11680521,2023,12,16,1612243.6719,31760169.1188,0.0507630694871097
11680521,2023,12,17,1594233.9354,31760169.1188,0.05019601531203167
11680521,2023,12,18,1511400.6303,31760169.1188,0.047587927653865894
11680521,2023,12,19,1387816.0141,31760169.1188,0.04369674509316455
11680521,2023,12,20,1317699.8002,31760169.1188,0.041489067494291314
11680521,2023,12,21,1252817.056,31760169.1188,0.03944617080953804
11680521,2023,12,22,1177672.1161,31760169.1188,0.03708015885226798
11680521,2023,12,23,1086528.5468000001,31760169.1188,0.03421041439470309
11680531,2023,1,0,956959.4228,31870274.7332,0.030026707670741015
11680531,2023,1,1,940808.1605,31870274.7332,0.029519926275374666
11680531,2023,1,2,929252.373,31870274.7332,0.029157338014158266
11680531,2023,1,3,923109.2217,31870274.7332,0.02896458312417294
11680531,2023,1,4,917709.8487,31870274.7332,0.028795165915027413
11680531,2023,1,5,917103.9035,31870274.7332,0.028776153051000584
11680531,2023,1,6,955424.9333,31870274.7332,0.029978559686048515
11680531,2023,1,7,1039842.3391,31870274.7332,0.032627341552747026
11680531,2023,1,8,1305448.2947,31870274.7332,0.04096131287315463
11680531,2023,1,9,1563492.818,31870274.7332,0.04905802761628765
11680531,2023,1,10,1697933.4778,31870274.7332,0.0532763991529456
11680531,2023,1,11,1782328.2046,31870274.7332,0.05592446941611419
11680531,2023,1,12,1828655.8980999999,31870274.7332,0.05737810274333929
11680531,2023,1,13,1853666.9091999999,31870274.7332,0.05816287825310123
11680531,2023,1,14,1845897.2112,31870274.7332,0.05791908688120239
11680531,2023,1,15,1812909.2084,31870274.7332,0.05688401570355622
11680531,2023,1,16,1773045.7321,31870274.7332,0.05563321141543149
11680531,2023,1,17,1697149.1921,31870274.7332,0.053251790463294646
11680531,2023,1,18,1494678.6356,31870274.7332,0.04689883121851343
11680531,2023,1,19,1303691.7157,31870274.7332,0.040906196341693735
11680531,2023,1,20,1200657.7672000001,31870274.7332,0.03767327948225207
11680531,2023,1,21,1107477.3657,31870274.7332,0.03474953934257477
11680531,2023,1,22,1030524.8443,31870274.7332,0.03233498465033559
11680531,2023,1,23,992507.2559,31870274.7332,0.03114209915693266
11680531,2023,12,0,1070431.9847,34315526.9363,0.031193808758555434
11680531,2023,12,1,1070386.4245,34315526.9363,0.031192481073857935
11680531,2023,12,2,1065781.5715,34315526.9363,0.03105828954567456
11680531,2023,12,3,1061678.7613,34315526.9363,0.030938728211016453
11680531,2023,12,4,1063642.9664,34315526.9363,0.030995967754609832
11680531,2023,12,5,1061648.7189,34315526.9363,0.030937852735606862
11680531,2023,12,6,1099934.9394,34315526.9363,0.03205356401613217
11680531,2023,12,7,1170575.2804999999,34315526.9363,0.03411211731275296
11680531,2023,12,8,1404772.2657,34315526.9363,0.04093692829801746
11680531,2023,12,9,1644418.8185,34315526.9363,0.0479205469160517
11680531,2023,12,10,1777143.9895,34315526.9363,0.05178833455767463
11680531,2023,12,11,1864409.3809,34315526.9363,0.054331363885535194
11680531,2023,12,12,1907383.8935,34315526.9363,0.055583698220361924
11680531,2023,12,13,1932090.7925999998,34315526.9363,0.056303690052218774
11680531,2023,12,14,1919173.0629,34315526.9363,0.055927250263781925
11680531,2023,12,15,1878929.0174999998,34315526.9363,0.054754485367159315
11680531,2023,12,16,1825622.9364999998,34315526.9363,0.053201075416644726
11680531,2023,12,17,1742325.3572,34315526.9363,0.05077367339963285
11680531,2023,12,18,1561314.8544,34315526.9363,0.04549878710294243
11680531,2023,12,19,1405946.2054,34315526.9363,0.04097113845897985
11680531,2023,12,20,1313962.0913,34315526.9363,0.038290599288745036
11680531,2023,12,21,1228435.1505,34315526.9363,0.03579823071871655
11680531,2023,12,22,1153977.6045,34315526.9363,0.033628439004947566
11680531,2023,12,23,1091540.8682,34315526.9363,0.031808949640383784
11680545,2023,1,0,1008347.3534,31209175.1534,0.0323093240511404
11680545,2023,1,1,973391.5366,31209175.1534,0.031189274686548595
11680545,2023,1,2,942696.6813,31209175.1534,0.030205754450940703
11680545,2023,1,3,916354.3825,31209175.1534,0.02936169821842184
11680545,2023,1,4,903114.1146,31209175.1534,0.028937455416908467
11680545,2023,1,5,910161.4198,31209175.1534,0.02916326417876651
11680545,2023,1,6,946441.7657999999,31209175.1534,0.030325753921660193
11680545,2023,1,7,994029.2236,31209175.1534,0.0318505445502525
11680545,2023,1,8,1165282.0687,31209175.1534,0.037337804122421714
11680545,2023,1,9,1372337.9851,31209175.1534,0.043972260668686536
11680545,2023,1,10,1497501.5219,31209175.1534,0.047982733107794384
11680545,2023,1,11,1599575.0425,31209175.1534,0.051253358495946616
11680545,2023,1,12,1665939.9782,31209175.1534,0.05337981442994044
11680545,2023,1,13,1712235.9897,31209175.1534,0.054863224717858816
11680545,2023,1,14,1725946.2242,31209175.1534,0.055302526123058124
11680545,2023,1,15,1717956.8307,31209175.1534,0.05504653110041718
11680545,2023,1,16,1703012.0787,31209175.1534,0.05456767345914523
11680545,2023,1,17,1676358.3021,31209175.1534,0.053713636898775056
11680545,2023,1,18,1585241.9294,31209175.1534,0.050794098902267854
11680545,2023,1,19,1465507.9178,31209175.1534,0.04695759854583482
11680545,2023,1,20,1346017.7894,31209175.1534,0.04312891266058858
11680545,2023,1,21,1229850.0461,31209175.1534,0.03940668217134913
