연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,log_전력,log_인구
2023,성북구,월곡제1동,11290715,1,6574.604,23386.50037674731,8.790969627095295,10.059914227894323
2023,성북구,월곡제1동,11290715,12,5644.351,26130.088175403223,8.638410500975207,10.170842732998182
2023,성북구,월곡제2동,11290725,1,10401.791,23386.741607258067,9.249733281841221,10.059924542788075
2023,성북구,월곡제2동,11290725,12,9015.852,22039.777362365592,9.106739640323124,10.000604161689768
2023,성북구,장위제1동,11290760,1,4598.496,21355.646536155913,8.43348457249351,9.969071458450887
2023,성북구,장위제1동,11290760,12,4053.452,22067.16399596774,8.307324142739295,10.001845990584641
2023,성북구,장위제2동,11290770,1,3636.819,11953.281573387096,8.198864677457706,9.388761128313241
2023,성북구,장위제2동,11290770,12,3114.409,12503.05771451613,8.04379468609428,9.433728510537783
2023,성북구,장위제3동,11290780,1,2818.777,7851.805098655914,7.944058381919082,8.968498733215629
2023,성북구,장위제3동,11290780,12,2359.857,8282.792450134408,7.766356302963473,9.02193544295418
2023,성북구,석관동,11290810,1,9304.015,27035.842300268818,9.138201306407003,10.20491875724972
2023,성북구,석관동,11290810,12,7983.435,26826.775030376346,8.985124048954164,10.197155736059996
2023,강북구,삼양동,11305534,1,4848.916,23458.35480376344,8.48651045379589,10.062981992031585
2023,강북구,삼양동,11305534,12,4032.411,22083.78877674731,8.302119739080043,10.0025990788204
2023,강북구,미아동,11305535,1,8336.939,23051.61639704301,9.02845140160323,10.045491171651268
2023,강북구,미아동,11305535,12,7297.691,22507.423350537632,8.895313275732791,10.02160046046923
2023,강북구,송중동,11305545,1,9772.1,36137.21537782258,9.18728666564496,10.495078510204275
2023,강북구,송중동,11305545,12,8227.918,35039.45387271505,9.015288284753328,10.464229959104525
2023,강북구,송천동,11305555,1,8200.402,26864.569028225807,9.011938456440932,10.198563560906042
2023,강북구,송천동,11305555,12,6588.108,26660.914907258066,8.793021484605783,10.190953910745442
2023,강북구,삼각산동,11305575,1,3143.007,20462.37835766129,8.05293526396658,9.926343277014746
2023,강북구,삼각산동,11305575,12,2528.001,20303.81594986559,7.83518415083629,9.918564125190152
2023,강북구,번1동,11305590,1,7508.785,17101.4841827957,8.923828947382074,9.74692053303988
2023,강북구,번1동,11305590,12,6169.869,18533.39758924731,8.727432884907424,9.827329658610273
2023,강북구,번2동,11305600,1,3433.717,12462.447455510752,8.141398626879138,9.430475198053442
2023,강북구,번2동,11305600,12,3007.953,11957.678231586022,8.009015059947659,9.389128880865572
