연도,자치구명,행정동명,행정동코드,월,전력사용량,시간대구분,시간대비율,추정전력
2023,서대문구,홍제제2동,11410655,1,2719.339,2,0.05027969744182339,136.72754216175056
2023,서대문구,홍제제2동,11410655,1,2719.339,3,0.04952097603190021,134.6643214416115
2023,서대문구,홍제제2동,11410655,1,2719.339,4,0.0492065288472148,133.80923294885625
2023,서대문구,홍제제2동,11410655,1,2719.339,5,0.04887958757207621,132.92016878866215
2023,서대문구,홍제제2동,11410655,1,2719.339,6,0.047824195968346694,130.05020124036793
2023,서대문구,홍제제2동,11410655,1,2719.339,7,0.044345689226508576,120.5909621955246
2023,서대문구,홍제제2동,11410655,1,2719.339,8,0.03963440702403813,107.77938876234082
2023,서대문구,홍제제2동,11410655,1,2719.339,9,0.036985519503043206,100.57616561988601
2023,서대문구,홍제제2동,11410655,1,2719.339,10,0.035667511217426257,96.9920542864847
2023,서대문구,홍제제2동,11410655,1,2719.339,11,0.03457641857497511,94.02500351125423
2023,서대문구,홍제제2동,11410655,1,2719.339,12,0.03390382255795484,92.19598693092637
2023,서대문구,홍제제2동,11410655,1,2719.339,13,0.03333324513887627,90.64439350270665
2023,서대문구,홍제제2동,11410655,1,2719.339,14,0.03324612406551575,90.40748177019553
2023,서대문구,홍제제2동,11410655,1,2719.339,15,0.03372336274943305,91.70525553568052
2023,서대문구,홍제제2동,11410655,1,2719.339,16,0.03454838182563828,93.94876208534939
2023,서대문구,홍제제2동,11410655,1,2719.339,17,0.035387971870958226,96.23189203959967
2023,서대문구,홍제제2동,11410655,1,2719.339,18,0.03753964052563457,102.08300852733858
2023,서대문구,홍제제2동,11410655,1,2719.339,19,0.03966478786915485,107.86200457931969
2023,서대문구,홍제제2동,11410655,1,2719.339,20,0.041805390019188905,113.68302748939114
2023,서대문구,홍제제2동,11410655,1,2719.339,21,0.043361603251087705,117.91489882320958
2023,서대문구,홍제제2동,11410655,1,2719.339,22,0.04482621889059968,121.89768525174443
2023,서대문구,홍제제2동,11410655,1,2719.339,23,0.05020948715321435,136.53661658573475
2023,서대문구,홍제제2동,11410655,12,2419.336,0,0.05214798707621785,126.16350246102859
2023,서대문구,홍제제2동,11410655,12,2419.336,1,0.05087392805189383,123.08112559735659
2023,서대문구,홍제제2동,11410655,12,2419.336,2,0.05082403046684304,122.96040657353016
2023,서대문구,홍제제2동,11410655,12,2419.336,3,0.050606058628770385,122.43305945869481
2023,서대문구,홍제제2동,11410655,12,2419.336,4,0.04969559298405028,120.23033714766026
2023,서대문구,홍제제2동,11410655,12,2419.336,5,0.04885780635572496,118.20344979743419
2023,서대문구,홍제제2동,11410655,12,2419.336,6,0.04792669379307777,115.95077565456958
2023,서대문구,홍제제2동,11410655,12,2419.336,7,0.043537556782541134,105.33197847604593
2023,서대문구,홍제제2동,11410655,12,2419.336,8,0.0384727038283836,93.07839738934626
2023,서대문구,홍제제2동,11410655,12,2419.336,9,0.035421950983189794,85.69760120386645
2023,서대문구,홍제제2동,11410655,12,2419.336,10,0.033644755021087665,81.39796703369814
2023,서대문구,홍제제2동,11410655,12,2419.336,11,0.03239549910079818,78.37559721252865
2023,서대문구,홍제제2동,11410655,12,2419.336,12,0.03156154796010684,76.35798919561303
2023,서대문구,홍제제2동,11410655,12,2419.336,13,0.030857548630896858,74.65477827447947
2023,서대문구,홍제제2동,11410655,12,2419.336,14,0.03100969346347495,75.02286774514963
2023,서대문구,홍제제2동,11410655,12,2419.336,15,0.03234714028142031,78.25860097989028
2023,서대문구,홍제제2동,11410655,12,2419.336,16,0.033457737702364175,80.94550930188693
2023,서대문구,홍제제2동,11410655,12,2419.336,17,0.03503802272161183,84.76874973921346
2023,서대문구,홍제제2동,11410655,12,2419.336,18,0.037799379751972596,91.44940021161837
2023,서대문구,홍제제2동,11410655,12,2419.336,19,0.04095521663490906,99.08442999263433
