행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11410690,서대문구,남가좌제1동,3956.8665555555554,8097.2149735936155,0.4927266428795338,수요집중
11410700,서대문구,남가좌제2동,6734.201111111111,20580.567331179936,0.3300399756694524,수요집중
11410710,서대문구,북가좌제1동,3329.8109999999997,13761.393803301582,0.24217800575721204,잉여가능
11410720,서대문구,북가좌제2동,5612.011361111112,31669.546958677172,0.17863813900207398,잉여가능
11440555,마포구,아현동,8635.308944444443,27117.138170003083,0.3195876296477548,중간
11440565,마포구,공덕동,11125.482972222222,37518.81983865937,0.2976939696882884,중간
11440585,마포구,도화동,8395.128833333332,16340.486412990538,0.5150970261409247,수요집중
11440590,마포구,용강동,8948.703861111111,25526.458046449887,0.35240097522841624,수요집중
11440600,마포구,대흥동,7352.509166666667,23220.10893036147,0.32110029580513016,중간
11440610,마포구,염리동,4926.868833333333,16697.68681669254,0.30197864574502,중간
11440630,마포구,신수동,5085.162361111111,16692.09227942058,0.30510342848322475,중간
11440655,마포구,서강동,8389.06647222222,27128.922817055496,0.3115400479445165,중간
11440660,마포구,서교동,29936.12461111111,73698.3558544737,0.4069840770115391,수요집중
11440680,마포구,합정동,8611.109472222222,21008.39686293144,0.4108140029911014,수요집중
11440690,마포구,망원제1동,4851.732944444444,19907.824912297816,0.24414189680019158,잉여가능
11440700,마포구,망원제2동,3867.470166666667,15987.526255997302,0.24173760267537356,잉여가능
11440710,마포구,연남동,5488.135666666666,17565.60098266221,0.31295803877034767,중간
11440720,마포구,성산제1동,4784.1995,20506.17335297002,0.23377852051572237,잉여가능
11440730,마포구,성산제2동,9882.545194444443,35167.8502772449,0.2814490875992773,중간
11440740,마포구,상암동,55687.152416666664,48490.41657810993,1.149824358958082,수요집중
11470510,양천구,목1동,39965.85022222222,40965.60182561748,0.9820632656725261,수요집중
11470520,양천구,목2동,5167.950277777778,22371.97449370713,0.2310462510750408,잉여가능
11470530,양천구,목3동,4747.7444444444445,18008.05117368447,0.26375468123468915,중간
11470540,양천구,목4동,4619.221111111111,17679.600108435057,0.2612651598845443,중간
11470550,양천구,목5동,9018.401972222222,38468.04093141615,0.23482825688096728,잉여가능
11470560,양천구,신월1동,4515.50125,14476.21793084873,0.311701725301756,중간
11470570,양천구,신월2동,3952.113138888889,12515.156158863907,0.31742193647962824,중간
11470580,양천구,신월3동,3336.6623055555556,13029.585354142233,0.25623083663380924,중간
11470590,양천구,신월4동,3435.593194444444,11475.798404921292,0.29943232566792544,중간
11470600,양천구,신월5동,3310.8640833333334,10855.319208623428,0.31332748671440885,중간
11470610,양천구,신월6동,2964.121277777778,4265.370283140443,0.6966666360100725,수요집중
11470611,양천구,신월7동,4004.917916666667,14735.930090026273,0.2718033450217115,중간
11470620,양천구,신정1동,4568.951055555556,16063.032513747828,0.28484711372788274,중간
11470630,양천구,신정2동,4229.007083333334,13857.694047394827,0.30551295349092056,중간
11470640,양천구,신정3동,10165.956722222221,40938.99803825972,0.24879055827128072,잉여가능
11470650,양천구,신정4동,8981.734055555555,33129.799653152855,0.2713107944483364,중간
11470670,양천구,신정6동,4838.011277777778,19266.671232235953,0.25159151411167224,중간
11470680,양천구,신정7동,4588.363555555556,20930.90980396362,0.21916200369475553,잉여가능
11500510,강서구,염창동,10445.68625,29977.127492059837,0.34863451485841435,수요집중
11500520,강서구,등촌제1동,9516.157333333333,21909.483959979363,0.4343932639927722,수요집중
11500530,강서구,등촌제2동,3991.6259999999997,15071.637994524586,0.2651905147270481,중간
