연도,자치구명,행정동명,행정동코드,월,전력사용량
2019,종로구,무악동,11110570,9,1834.189
2019,종로구,무악동,11110570,10,1579.74
2019,종로구,무악동,11110570,11,1535.214
2019,종로구,무악동,11110570,12,1673.691
2020,종로구,무악동,11110570,1,1765.728
2020,종로구,무악동,11110570,2,1717.964
2020,종로구,무악동,11110570,3,1602.792
2020,종로구,무악동,11110570,4,1574.359
2020,종로구,무악동,11110570,5,1581.878
2020,종로구,무악동,11110570,6,1795.608
2020,종로구,무악동,11110570,7,1884.111
2020,종로구,무악동,11110570,8,2205.058
2020,종로구,무악동,11110570,9,1891.165
2020,종로구,무악동,11110570,10,1560.244
2020,종로구,무악동,11110570,11,1590.221
2020,종로구,무악동,11110570,12,1780.416
2021,종로구,무악동,11110570,1,1940.381
2021,종로구,무악동,11110570,2,1753.378
2021,종로구,무악동,11110570,3,1566.42
2021,종로구,무악동,11110570,4,1586.165
2021,종로구,무악동,11110570,5,1587.347
2021,종로구,무악동,11110570,6,1768.58
2021,종로구,무악동,11110570,7,2272.03
2021,종로구,무악동,11110570,8,2453.009
2021,종로구,무악동,11110570,9,1880.431
2021,종로구,무악동,11110570,10,1674.269
2021,종로구,무악동,11110570,11,1603.623
2021,종로구,무악동,11110570,12,1719.326
2022,종로구,무악동,11110570,1,1916.73
2022,종로구,무악동,11110570,2,1815.364
2022,종로구,무악동,11110570,3,1643.522
2022,종로구,무악동,11110570,4,1602.565
2022,종로구,무악동,11110570,5,1561.088
2022,종로구,무악동,11110570,6,1740.326
2022,종로구,무악동,11110570,7,2252.888
2022,종로구,무악동,11110570,8,2229.503
2022,종로구,무악동,11110570,9,1842.687
2022,종로구,무악동,11110570,10,1592.111
2022,종로구,무악동,11110570,11,1560.322
2022,종로구,무악동,11110570,12,1786.414
2023,종로구,무악동,11110570,1,1929.57
2023,종로구,무악동,11110570,2,1786.476
2023,종로구,무악동,11110570,3,1565.812
2023,종로구,무악동,11110570,4,1564.732
2023,종로구,무악동,11110570,5,1571.618
2023,종로구,무악동,11110570,6,1748.153
2023,종로구,무악동,11110570,7,2185.499
2023,종로구,무악동,11110570,8,2474.396
2023,종로구,무악동,11110570,9,2043.753
2023,종로구,무악동,11110570,10,1562.421
2023,종로구,무악동,11110570,11,1588.213
2023,종로구,무악동,11110570,12,1726.812
2024,종로구,무악동,11110570,1,1867.625
2024,종로구,무악동,11110570,2,1748.375
2024,종로구,무악동,11110570,3,1623.198
2024,종로구,무악동,11110570,4,1558.583
2024,종로구,무악동,11110570,5,1550.756
2024,종로구,무악동,11110570,6,1754.413
2024,종로구,무악동,11110570,7,2196.733
2024,종로구,무악동,11110570,8,2706.362
2024,종로구,무악동,11110570,9,2307.981
2024,종로구,무악동,11110570,10,1706.397
2024,종로구,무악동,11110570,11,1621.654
2024,종로구,무악동,11110570,12,1811.352
2025,종로구,무악동,11110570,1,1989.623
2025,종로구,무악동,11110570,2,1919.874
2025,종로구,무악동,11110570,3,1703.129
2025,종로구,무악동,11110570,4,1671.173
2025,종로구,무악동,11110570,5,1641.71
2025,종로구,무악동,11110570,6,0.0
2025,종로구,무악동,11110570,7,0.0
2025,종로구,무악동,11110570,8,0.0
2025,종로구,무악동,11110570,9,0.0
2025,종로구,무악동,11110570,10,0.0
2025,종로구,무악동,11110570,11,0.0
2025,종로구,무악동,11110570,12,0.0
2018,종로구,교남동,11110580,1,3914.987
2018,종로구,교남동,11110580,2,3656.593
2018,종로구,교남동,11110580,3,3330.592
2018,종로구,교남동,11110580,4,3125.842
2018,종로구,교남동,11110580,5,3217.488
2018,종로구,교남동,11110580,6,3571.741
2018,종로구,교남동,11110580,7,4417.005
2018,종로구,교남동,11110580,8,5027.976
2018,종로구,교남동,11110580,9,3672.75
2018,종로구,교남동,11110580,10,3106.666
2018,종로구,교남동,11110580,11,3230.183
2018,종로구,교남동,11110580,12,3745.466
2019,종로구,교남동,11110580,1,3917.672
2019,종로구,교남동,11110580,2,3499.822
2019,종로구,교남동,11110580,3,3357.872
2019,종로구,교남동,11110580,4,3257.8
2019,종로구,교남동,11110580,5,3329.874
2019,종로구,교남동,11110580,6,3593.37
2019,종로구,교남동,11110580,7,4342.684
2019,종로구,교남동,11110580,8,4794.441
2019,종로구,교남동,11110580,9,3876.224
2019,종로구,교남동,11110580,10,3339.457
2019,종로구,교남동,11110580,11,3340.861
2019,종로구,교남동,11110580,12,3851.337
2020,종로구,교남동,11110580,1,4124.66
2020,종로구,교남동,11110580,2,3774.959
2020,종로구,교남동,11110580,3,3611.214
2020,종로구,교남동,11110580,4,3272.141
2020,종로구,교남동,11110580,5,3462.613
2020,종로구,교남동,11110580,6,4057.368
2020,종로구,교남동,11110580,7,4341.748
2020,종로구,교남동,11110580,8,4870.829
2020,종로구,교남동,11110580,9,3822.568
2020,종로구,교남동,11110580,10,3309.202
2020,종로구,교남동,11110580,11,3491.976
2020,종로구,교남동,11110580,12,4048.403
2021,종로구,교남동,11110580,1,4359.803
2021,종로구,교남동,11110580,2,3799.754
2021,종로구,교남동,11110580,3,3753.423
2021,종로구,교남동,11110580,4,3511.71
2021,종로구,교남동,11110580,5,3633.497
2021,종로구,교남동,11110580,6,4139.492
2021,종로구,교남동,11110580,7,5303.38
